date,close,volume,pnl
8/6/20,3349.16,4267490000,0
8/5/20,3327.77,4732220000,-638667.6062
8/4/20,3306.51,4621670000,-634786.0359
8/3/20,3294.61,4643640000,-355312.974
7/31/20,3271.12,5117260000,-701369.8957
7/30/20,3246.22,4254010000,-743470.0044
7/29/20,3258.44,4676300000,364867.6086
7/28/20,3218.44,4027890000,-1194329.324
7/27/20,3239.41,3963910000,626127.1483
7/24/20,3215.63,3894900000,-710028.7833
7/23/20,3235.66,4290460000,598060.4092
7/22/20,3276.02,4255190000,1205078.288
7/21/20,3257.3,4547960000,-558946.1238
7/20/20,3251.84,3971200000,-163025.9528
7/17/20,3224.73,3993830000,-809456.6996
7/16/20,3215.57,3961230000,-273501.4153
7/15/20,3226.56,4669760000,328141.9819
7/14/20,3197.52,4476170000,-867083.0895
7/13/20,3155.22,4890780000,-1263003.261
7/10/20,3185.04,4515340000,890372.5113
7/9/20,3152.05,4829020000,-985023.1103
7/8/20,3169.94,4927700000,534163.7903
7/7/20,3145.32,4563700000,-735109.6991
7/6/20,3179.72,4736450000,1027123.219
7/2/20,3130.01,4190830000,-1484252.768
7/1/20,3115.86,4443130000,-422493.9985
6/30/20,3100.29,4696280000,-464892.6895
6/29/20,3053.24,4462770000,-1404829.868
6/26/20,3009.05,8098120000,-1319435.321
6/25/20,3083.76,4815420000,2230708.596
6/24/20,3050.33,5587200000,-998160.7328
6/23/20,3131.29,4704830000,2417322.553
6/22/20,3117.86,4665380000,-400996.0707
6/19/20,3097.74,8327780000,-600747.6502
6/18/20,3115.34,4429030000,525504.9027
6/17/20,3113.49,4549390000,-55237.73125
6/16/20,3124.74,5829240000,335905.1225
6/15/20,3066.59,5740660000,-1736256.255
6/12/20,3041.31,5832250000,-754816.133
6/11/20,3002.1,7018890000,-1170741.32
6/10/20,3190.14,6570840000,5614542.154
6/9/20,3207.18,6382620000,508784.2922
6/8/20,3232.39,8437380000,752726.0567
6/5/20,3193.93,8617590000,-1148347.645
6/4/20,3112.35,6428130000,-2435834.657
6/3/20,3122.87,5989560000,314108.6123
6/2/20,3080.82,5187230000,-1255538.702
6/1/20,3055.73,4673410000,-749143.0687
5/29/20,3044.31,7275080000,-340981.0221
5/28/20,3029.73,5402670000,-435333.0387
5/27/20,3036.13,6371230000,191092.6919
5/26/20,2991.77,5837060000,-1324511.221
5/22/20,2955.45,3952800000,-1084451.027
5/21/20,2948.51,4966940000,-207216.1378
5/20/20,2971.61,4992970000,689725.1848
5/19/20,2922.94,4969330000,-1453200.205
5/18/20,2953.91,6364290000,924709.4794
5/15/20,2863.7,5477040000,-2693511.209
5/14/20,2852.5,5641920000,-334412.2108
5/13/20,2820,6143130000,-970392.576
5/12/20,2870.12,5107710000,1496494.643
5/11/20,2930.19,4807320000,1793584.063
5/8/20,2929.8,4857160000,-11644.71091
5/7/20,2881.19,5164640000,-1451408.711
5/6/20,2848.42,4861920000,-978454.299
